"Equipo original","Equipo renombrado","model"
"AMBP","AMBP 1","ABPM50"
"AMBP","AMBP 2","ABPM50"
"Analizador de Incubadora","Analizador de Incubadora","INCU II"
"Analizador de Biomecánica","Analizador de Biomecánica","Xsens Awinda"
"Analizador de Bomba de Infusión","Analizador de Bomba de Infusión","IPA-3400"
"Analizador de Calidad del AIRE Interior","Analizador de Calidad del AIRE Interior","7545"
"Analizador de Rayos X","Analizador de Rayos X","X2"
"Electroencefalógrafo","Electroencefalógrafo","MARK IV"
"Holter ECG","Holter ECG 1","TLC 5007"
"Analizador de Ventilación","Analizador de Ventilación","Certifier FA plus"
"Holter ECG","Holter ECG 2","TLC5007"
"Humidificador (Ventilador Mecánico Comen)","Humidificador (Ventilador Mecánico Comen)","VH-3000"
"Analizador de Unidad Electroquirúrgica","Analizador de Unidad Electroquirúrgica","ESU-2300"
"CPAP","CPAP 1","GoodKnight 420G"
"Analizador Hematológico","Analizador Hematológico","AC610"
"Autoclave","Autoclave","SA-232"
"Balómetro","Balómetro","ALNOR"
"Placa de Audiómetro","Placa de Audiómetro 1","DL3155BIO6"
"Placa de Audiómetro","Placa de Audiómetro 2","DL3155BIO9"
"CPAP","CPAP 2","Luna H60"
"Detector de Fugas Ultrasónico","Detector de Fugas Ultrasónico 1","N/A"
"Humidificador","Humidificador","SH330"
"Humidificador APAP","Humidificador APAP","H5i y S9"
"Impresora de Ultrasonido","Impresora de Ultrasonido","UP-X898MD"
"Luxómetro","Luxómetro","MAVOLUX 5032B"
"Osciloscopio Portátil","Osciloscopio Portátil","190-202 Series III"
"Ultrasonido","Ultrasonido 1","DP-30"
"Ventilador Mecánico","Ventilador Mecánico 1","V3/V3A"
"CPAP","CPAP 3","Respironics Plus C-Flex"
"CPAP","CPAP 4","1022334"
"Detector de Fugas Ultrasónico","Detector de Fugas Ultrasónico 2","N/A"
"Electrocardiógrafo","Electrocardiógrafo 1","ECG 100G"
"Electrocardiógrafo","Electrocardiógrafo 2","ECG 100G"
"Electrocardiógrafo","Electrocardiógrafo 3","Digital 3 Channels Electrocardiograph"
"Monitor de Signos Vitales","Monitor de Signos Vitales 1","X12"
"Monitor de Signos Vitales","Monitor de Signos Vitales 2","X12"
"Monitor de Signos Vitales","Monitor de Signos Vitales 3","C50"
"Phantom Ultrasonido","Phantom Ultrasonido","054GS"
"Medidor de Potencia","Medidor de Potencia","STARLITE"
"Hemodiálisis","Hemodiálisis","2008E"
"Analizador de Agente Anestésico","Analizador de Agente Anestésico","AA-8000"
"Analizador de Dosis de Área","Analizador de Dosis de Área","RaySafe 452"
"Unidad de Electrocirugía","Unidad de Electrocirugía","ForceFX"
"Analizador de Seguridad Eléctrica","Analizador de Seguridad Eléctrica 1","SA-2010"
"VPAP","VPAP","H5i y S9"
"Placa de Electroestimulación","Placa de Electroestimulación 1","DL3155BIO12"
"Placa de Electroestimulación","Placa de Electroestimulación 2","DL3155BIO12"
"Incubadora","Incubadora","AI - 1B"
"Placa de Terapia Láser","Placa de Terapia Láser 1","DL3155BIO13"
"Máquina de Anestesia","Máquina de Anestesia","S6100"
"Analizador de Seguridad Eléctrica","Analizador de Seguridad Eléctrica 2","SA-2010"
"Monitor de Máquina de Anestesia","Monitor de Máquina de Anestesia","SP-J12H"
"Placa de Terapia Láser","Placa de Terapia Láser 2","DL3155BIO13"
"BASE con Fuente de Alimentación","BASE con Fuente de Alimentación 1","DL3155AL2RM"
"BASE con Fuente de Alimentación","BASE con Fuente de Alimentación 2","DL3155AL2RM"
"Placa de Monitoreo de Presión","Placa de Monitoreo de Presión 1","DL3155BIO16"
"Placa de Monitoreo de Presión","Placa de Monitoreo de Presión 2","DL3155BIO16"
"Placa de Temperatura y Respiración","Placa de Temperatura y Respiración 1","DL3155BIO7"
"Placa de Temperatura y Respiración","Placa de Temperatura y Respiración 2","DL3155BIO7"
"Analizador de Desfibrilador","Analizador de Desfibrilador","DA-2006P"
"Bomba de Infusión","Bomba de Infusión 1","SERENE"
"Bomba de Infusión","Bomba de Infusión 2","SERENE"
"Placa de Frecuencia Cardíaca","Placa de Frecuencia Cardíaca 1","DL3155BIO6"
"Placa de Frecuencia Cardíaca","Placa de Frecuencia Cardíaca 2","DL3155BIO6"
"Placa de Ionoforesis","Placa de Ionoforesis 1","DL3155BIO14"
"Placa de Ionoforesis","Placa de Ionoforesis 2","DL3155BIO14"
"Placa de Magnetoterapia","Placa de Magnetoterapia 1","DL3155BIO11"
"Placa de Magnetoterapia","Placa de Magnetoterapia 2","DL3155BIO11"
"Bomba de Infusión","Bomba de Infusión 3","550T2"
"Bomba de Infusión","Bomba de Infusión 4","550T2"
"Placa de Resistencia Galvánica","Placa de Resistencia Galvánica 1","DL3155BI08"
"Placa de Resistencia Galvánica","Placa de Resistencia Galvánica 2","DL3155BI08"
"Bomba de Infusión","Bomba de Infusión 5","550T2"
"Bomba de Infusión","Bomba de Infusión 6","Sigmaspectrum"
"Placa de TENS","Placa de TENS 1","DL3155BIO10"
"Placa de TENS","Placa de TENS 2","DL3155BIO10"
"Placa de Terapia de Ultrasonido","Placa de Terapia de Ultrasonido 1","DL3155BIO15"
"Placa de Terapia de Ultrasonido","Placa de Terapia de Ultrasonido 2","DL3155BIO15"
"Bomba de Infusión","Bomba de Infusión 7","Sigmaspectrum"
"Calentador/Humidificador","Calentador/Humidificador","REMstar"
"Simulador de NIBP","Simulador de NIBP","NIBP-1010"
"Simulador de Paciente","Simulador de Paciente 1","PS-2220"
"Simulador de Paciente","Simulador de Paciente 2","PS-2220"
"Simulador Pulmonar","Simulador Pulmonar","LS-2000A"
"Simulador Pulmonar Pediátrico","Simulador Pulmonar Pediátrico","LS-2000I"
"CPAP","CPAP 5","Auto"
"Ultrasonido","Ultrasonido 2","517700"
"Desfibrilador","Desfibrilador 1","Lifepack12"
"Humidificador CPAP & APAP","Humidificador CPAP & APAP","SleepStyle 200 & H5i S9"
"Monitor Fetal","Monitor Fetal","CMS800G"
"Desfibrilador","Desfibrilador 2","Beneheart D30"
"Ventilador Mecánico","Ventilador Mecánico 2","InfantStar"
"Ventilador Mecánico","Ventilador Mecánico 3","InfantStar"
"Ventilador Mecánico","Ventilador Mecánico 4","15215"
"Ventilador Mecánico","Ventilador Mecánico 5","7200 Series"
"Ventilador Mecánico","Ventilador Mecánico 6","7200 SERIE"
"Ventilador Mecánico","Ventilador Mecánico 7","InfantStar"
"Ventilador Mecánico","Ventilador Mecánico 8","InfantStar"
"Bomba de Infusión","Bomba de Infusión 8","BeneFusion uSP"
"Bomba de Infusión","Bomba de Infusión 9","BeneFusion uSP"
"Bomba de Infusión","Bomba de Infusión 10","BeneFusion uVP"
"Bomba de Infusión","Bomba de Infusión 11","BeneFusion uVP"
"Analizador de Flujo de GAS","Analizador de Flujo de GAS","VT650"
